
sub_001, 1878                  
sub_001, 1879                  
sub_001, 1880                  
sub_001, 1881, Drive                  
sub_001, 1884, Drive                  
sub_001, 1894, Reverse                  
sub_001, 1895, Drive                  
sub_001, 1896, nan                  
sub_001, 1930, Reverse                  
sub_001, 1931, Drive                  
sub_001, 1943, Reverse                  
sub_001, 1944, Drive                  
sub_001, 1945, Reverse                  
sub_001, 1946, Drive                  
sub_001, 1951, nan                  
sub_001, 1987, Reverse                  
sub_001, 1988, Drive                  
sub_001, 1994                  
sub_001, 1995, Reverse                  
sub_001, 2013, Drive                  
sub_001, 2044, Reverse                  
sub_001, 2049, Reverse                  
sub_001, 2050, nan                  
sub_001, 2161, Reverse                  
sub_001, 2166                  
sub_001, 2172, nan                  
sub_001, 2173                  
sub_001, 2178, Drive                  
sub_001, 2185, Reverse                  
sub_001, 2186, Drive                  
sub_001, 2187, Reverse                  
sub_001, 2208, Drive                  
sub_001, 2232, Reverse                  
sub_001, 2233, Reverse                  
sub_001, 2234, Drive                  
sub_001, 2235, Reverse                  
sub_001, 2243, Reverse                  
sub_001, 2244, Drive                  
sub_001, 2245, Reverse                  
sub_001, 2246, nan                  
sub_001, 2247, Reverse                  
sub_001, 2248, Reverse                  
sub_001, 2249, Reverse                  
sub_001, 2269, Drive                  
sub_001, 2270, Reverse                  
sub_001, 2273, Drive                  
sub_001, 2274, Reverse                  
sub_001, 2276, Drive                  
sub_001, 2277, Reverse                  
sub_001, 2278, Reverse                  
sub_001, 2279, Reverse                  
sub_001, 2282, Reverse                  
sub_001, 2283, Drive                  
sub_001, 2284, Reverse                  
sub_001, 2287, Reverse                  
sub_001, 2288, Reverse                  
sub_001, 2290, Reverse                  
sub_001, 2291, Drive                  
sub_001, 2292, Drive                  
sub_001, 2294, Reverse                  
sub_001, 2295, nan                  
sub_001, 2296, Reverse                  
sub_001, 2299, Reverse                  
sub_001, 2300, Drive                  
sub_001, 2311, Reverse                  
sub_001, 2314, Drive                  
sub_001, 2322, nan                  
sub_001, 2338                  
sub_001, 2377, Reverse                  
sub_001, 2384, Reverse                  
sub_001, 2385, Reverse                  
sub_001, 2390                  
sub_001, 2393                  
sub_001, 2394, Reverse                  
sub_001, 2406, Reverse                  
sub_001, 2407, Reverse                  
sub_001, 2408, Drive                  
sub_001, 2409, Reverse                  
sub_001, 2414, Reverse                  
sub_001, 2415, nan                  
sub_001, 2416, Reverse                  
