
sub_001, 1878                  
sub_001, 1879                  
sub_001, 1880                  
sub_001, 1881, Pulling forward into perpenedicular                  
sub_001, 1884, Pulling forward into perpenedicular                  
sub_001, 1894, Pulling forward into perpenedicular                  
sub_001, 1895, Parallel parking                  
sub_001, 1896, Pulling forward into perpenedicular                  
sub_001, 1930, Pulling forward into perpenedicular                  
sub_001, 1931, Pulling forward into perpenedicular                  
sub_001, 1943, Pulling forward into perpenedicular                  
sub_001, 1944, Pulling forward into perpenedicular                  
sub_001, 1945, Pulling forward into perpenedicular                  
sub_001, 1946, Parallel parking                  
sub_001, 1951, Pulling forward into perpenedicular                  
sub_001, 1987, Parallel parking                  
sub_001, 1988, Pulling forward into perpenedicular                  
sub_001, 1994                  
sub_001, 1995, Pulling forward into perpenedicular                  
sub_001, 2013, Pulling forward into angled                  
sub_001, 2044, Pulling forward into perpenedicular                  
sub_001, 2049, Parallel parking                  
sub_001, 2050, Pulling forward into perpenedicular                  
sub_001, 2161, Pulling forward into perpenedicular                  
sub_001, 2166                  
sub_001, 2172, Pulling forward into perpenedicular                  
sub_001, 2173                  
sub_001, 2178, Pulling forward out of perpendicular                  
sub_001, 2185, Parallel parking                  
sub_001, 2186, Pulling forward into perpenedicular                  
sub_001, 2187, Pulling forward into perpenedicular                  
sub_001, 2208, Parallel parking                  
sub_001, 2232, Pulling forward into perpenedicular                  
sub_001, 2233, Parallel parking                  
sub_001, 2234, Pulling forward into perpenedicular                  
sub_001, 2235, Pulling forward into perpenedicular                  
sub_001, 2243, Pulling forward into perpenedicular                  
sub_001, 2244, Pulling forward into angled                  
sub_001, 2245, Parallel parking                  
sub_001, 2246, Pulling forward into perpenedicular                  
sub_001, 2247, Pulling forward into perpenedicular                  
sub_001, 2248, Pulling forward into angled                  
sub_001, 2249, Pulling forward into angled                  
sub_001, 2269, Pulling forward into perpenedicular                  
sub_001, 2270, Pulling forward into perpenedicular                  
sub_001, 2273, Pulling forward into perpenedicular                  
sub_001, 2274, Pulling forward into perpenedicular                  
sub_001, 2276, Pulling forward into perpenedicular                  
sub_001, 2277, Pulling forward into angled                  
sub_001, 2278, Pulling forward into perpenedicular                  
sub_001, 2279, Pulling forward into perpenedicular                  
sub_001, 2282, Parallel parking                  
sub_001, 2283, Pulling forward into perpenedicular                  
sub_001, 2284, Pulling forward into perpenedicular                  
sub_001, 2287, Pulling forward into perpenedicular                  
sub_001, 2288, Pulling forward into perpenedicular                  
sub_001, 2290, Parallel parking                  
sub_001, 2291, Parallel parking                  
sub_001, 2292, Pulling forward into perpenedicular                  
sub_001, 2294, Pulling forward into perpenedicular                  
sub_001, 2295, Pulling forward into perpenedicular                  
sub_001, 2296, Pulling forward into perpenedicular                  
sub_001, 2299, Parallel parking                  
sub_001, 2300, Pulling forward into perpenedicular                  
sub_001, 2311, Pulling forward into perpenedicular                  
sub_001, 2314, Parallel parking                  
sub_001, 2322, Pulling forward into perpenedicular                  
sub_001, 2338                  
sub_001, 2377, Pulling forward into perpenedicular                  
sub_001, 2384, Pulling forward into perpenedicular                  
sub_001, 2385, Pulling forward into perpenedicular                  
sub_001, 2390                  
sub_001, 2393                  
sub_001, 2394, Pulling forward into perpenedicular                  
sub_001, 2406, Pulling forward into perpenedicular                  
sub_001, 2407, Parallel parking                  
sub_001, 2408, Pulling forward into perpenedicular                  
sub_001, 2409, Pulling forward into perpenedicular                  
sub_001, 2414, Parallel parking                  
sub_001, 2415, Pulling forward into perpenedicular                  
sub_001, 2416, Pulling forward into perpenedicular                  
sub_001, 2417, Pulling forward into perpenedicular                  
sub_001, 2418, Pulling forward into perpenedicular                  
sub_001, 2428, Parallel parking                  
sub_001, 2434, Pulling forward into perpenedicular                  
sub_001, 2435, Pulling forward into perpenedicular                  
sub_001, 2436, nan                  
sub_001, 2460, Pulling forward into perpenedicular                  
sub_001, 2462, Pulling forward into perpenedicular                  
sub_001, 2463, Pulling forward into perpenedicular                  
sub_001, 2464, Pulling forward into perpenedicular                  
sub_001, 2482, Parallel parking                  
sub_001, 2485, Pulling forward into perpenedicular                  
sub_001, 2497, Pulling forward into perpenedicular                  
sub_001, 2511, Parallel parking                  
sub_001, 2515, Pulling forward into perpenedicular                  
sub_001, 2520, Pulling forward into perpenedicular                  
